iter	Passed	Remaining
0	147	146988
1	148	74251
2	150	49991
3	151	37827
4	154	30681
5	155	25787
6	156	22255
7	157	19581
8	159	17513
9	160	15866
10	161	14513
11	163	13495
12	165	12556
13	166	11746
14	168	11041
15	169	10424
16	170	9871
17	172	9386
18	173	8958
19	174	8565
20	177	8256
21	180	8004
22	181	7707
23	182	7435
24	184	7178
25	185	6938
26	186	6712
27	187	6507
28	188	6316
29	189	6136
30	192	6013
31	195	5899
32	196	5752
33	197	5608
34	198	5474
35	199	5350
36	201	5235
37	202	5123
38	203	5014
39	206	4956
40	207	4865
41	209	4769
42	210	4678
43	211	4592
44	212	4508
45	213	4428
46	214	4353
47	215	4282
48	217	4216
49	218	4151
50	219	4088
51	220	4026
52	221	3965
53	223	3908
54	224	3852
55	225	3798
56	226	3746
57	227	3696
58	231	3688
59	232	3644
60	233	3599
61	235	3557
62	236	3516
63	237	3475
64	238	3434
65	239	3394
66	240	3354
67	241	3315
68	243	3283
69	245	3256
70	246	3223
71	247	3188
72	248	3155
73	249	3121
74	250	3089
75	251	3058
76	252	3027
77	253	2997
78	254	2968
79	255	2939
80	256	2912
81	258	2897
82	259	2869
83	261	2848
84	262	2824
85	263	2803
86	264	2780
87	266	2758
88	267	2739
89	268	2717
90	270	2698
91	271	2677
92	274	2678
93	276	2665
94	277	2647
95	279	2629
96	281	2616
97	282	2600
98	283	2581
99	284	2562
100	286	2546
101	289	2547
102	290	2533
103	292	2518
104	293	2502
105	294	2485
106	296	2472
107	297	2460
108	299	2445
109	300	2431
110	302	2423
111	305	2418
112	307	2415
113	309	2403
114	310	2390
115	312	2377
116	313	2363
117	314	2352
118	317	2349
119	319	2341
120	321	2338
121	322	2324
122	324	2312
123	325	2302
124	327	2292
125	328	2281
126	331	2282
127	334	2280
128	337	2277
129	338	2265
130	339	2255
131	341	2244
132	342	2234
133	346	2236
134	348	2231
135	353	2243
136	355	2237
137	357	2236
138	361	2240
139	367	2255
140	368	2244
141	369	2231
142	370	2221
143	372	2211
144	373	2201
145	375	2198
146	378	2196
147	381	2197
148	382	2187
149	384	2177
150	386	2171
151	387	2162
152	389	2156
153	392	2155
154	395	2158
155	397	2151
156	399	2142
157	400	2133
158	401	2124
159	403	2115
160	404	2108
161	407	2109
162	410	2106
163	412	2100
164	413	2093
165	414	2084
166	416	2075
167	423	2098
168	426	2098
169	428	2091
170	431	2091
171	434	2090
172	436	2086
173	438	2083
174	441	2083
175	444	2078
176	445	2071
177	446	2063
178	450	2067
179	452	2063
180	454	2058
181	456	2053
182	458	2045
183	459	2038
184	460	2030
185	468	2050
186	470	2044
187	471	2036
188	472	2029
189	474	2021
190	475	2014
191	477	2011
192	480	2008
193	482	2005
194	484	1998
195	485	1991
196	486	1984
197	488	1977
198	489	1969
199	491	1964
200	496	1973
201	498	1968
202	499	1961
203	501	1955
204	502	1948
205	503	1941
